Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
12/12/1980,28.75,28.87,28.75,28.75,2093900,0,1,0.417880099,0.419624294,0.417880099,0.417880099,117258400
12/15/1980,27.38,27.38,27.25,27.25,785200,0,1,0.397967204,0.397967204,0.396077659,0.396077659,43971200
12/16/1980,25.37,25.37,25.25,25.25,472000,0,1,0.368751935,0.368751935,0.367007739,0.367007739,26432000
12/17/1980,25.87,26,25.87,25.87,385900,0,1,0.376019415,0.377908959,0.376019415,0.376019415,21610400
12/18/1980,26.63,26.75,26.63,26.63,327900,0,1,0.387065984,0.388810179,0.387065984,0.387065984,18362400
12/19/1980,28.25,28.38,28.25,28.25,217100,0,1,0.410612619,0.412502164,0.410612619,0.410612619,12157600
12/22/1980,29.63,29.75,29.63,29.63,166800,0,1,0.430670864,0.432415059,0.430670864,0.430670864,9340800
12/23/1980,30.88,31,30.88,30.88,209600,0,1,0.448839564,0.450583759,0.448839564,0.448839564,11737600
12/24/1980,32.5,32.63,32.5,32.5,214300,0,1,0.472386199,0.474275744,0.472386199,0.472386199,12000800
12/26/1980,35.5,35.62,35.5,35.5,248100,0,1,0.515991079,0.517735274,0.515991079,0.515991079,13893600
12/29/1980,36,36.13,36,36,415900,0,1,0.523258559,0.525148104,0.523258559,0.523258559,23290400
12/30/1980,35.25,35.25,35.12,35.12,307500,0,1,0.512357339,0.512357339,0.510467794,0.510467794,17220000
12/31/1980,34.25,34.25,34.13,34.13,159600,0,1,0.497822379,0.497822379,0.496078184,0.496078184,8937600
1/2/1981,34.5,34.75,34.5,34.5,96700,0,1,0.501456119,0.505089859,0.501456119,0.501456119,5415200
1/5/1981,33.87,33.87,33.75,33.75,159500,0,1,0.492299094,0.492299094,0.490554899,0.490554899,8932000
1/6/1981,32.37,32.37,32.25,32.25,201600,0,1,0.470496654,0.470496654,0.468752459,0.468752459,11289600
1/7/1981,31,31,30.88,30.88,248600,0,1,0.450583759,0.450583759,0.448839564,0.448839564,13921600
1/8/1981,30.37,30.37,30.25,30.25,177800,0,1,0.441426734,0.441426734,0.439682539,0.439682539,9956800
1/9/1981,31.88,32,31.88,31.88,96000,0,1,0.463374524,0.465118719,0.463374524,0.463374524,5376000
